wine.arff
confidenceFactor;minNumObj;numFolds;TP;FP;Precision;Recall;F-measure
0,1;5;50;0,953;0,023;0,954;0,953;0,953
0,1;6;3;0,953;0,023;0,954;0,953;0,953
0,1;6;4;0,953;0,023;0,954;0,953;0,953
0,1;6;5;0,953;0,023;0,954;0,953;0,953
0,1;6;8;0,953;0,023;0,954;0,953;0,953
0,1;6;10;0,953;0,023;0,954;0,953;0,953
0,1;6;20;0,953;0,023;0,954;0,953;0,953
0,1;6;25;0,953;0,023;0,954;0,953;0,953
0,1;6;50;0,953;0,023;0,954;0,953;0,953
0,1;10;3;0,953;0,023;0,954;0,953;0,953
0,1;10;4;0,953;0,023;0,954;0,953;0,953
0,1;10;5;0,953;0,023;0,954;0,953;0,953
0,1;10;8;0,953;0,023;0,954;0,953;0,953
0,1;10;10;0,953;0,023;0,954;0,953;0,953
0,1;10;20;0,953;0,023;0,954;0,953;0,953
0,1;10;25;0,953;0,023;0,954;0,953;0,953
0,1;10;50;0,953;0,023;0,954;0,953;0,953
0,1;20;3;0,953;0,023;0,954;0,953;0,953
0,1;20;4;0,953;0,023;0,954;0,953;0,953
0,1;20;5;0,953;0,023;0,954;0,953;0,953
0,1;20;8;0,953;0,023;0,954;0,953;0,953
0,1;20;10;0,953;0,023;0,954;0,953;0,953
0,1;20;20;0,953;0,023;0,954;0,953;0,953
0,1;20;25;0,953;0,023;0,954;0,953;0,953
0,1;20;50;0,953;0,023;0,954;0,953;0,953
0,2;2;3;0,96;0,02;0,96;0,96;0,96
0,2;2;4;0,96;0,02;0,96;0,96;0,96
0,2;2;5;0,96;0,02;0,96;0,96;0,96
0,2;2;8;0,96;0,02;0,96;0,96;0,96
0,2;2;10;0,96;0,02;0,96;0,96;0,96
0,2;2;20;0,96;0,02;0,96;0,96;0,96
0,2;2;25;0,96;0,02;0,96;0,96;0,96
0,2;2;50;0,96;0,02;0,96;0,96;0,96
0,2;4;3;0,96;0,02;0,96;0,96;0,96
0,2;4;4;0,96;0,02;0,96;0,96;0,96
0,2;4;5;0,96;0,02;0,96;0,96;0,96
0,2;4;8;0,96;0,02;0,96;0,96;0,96
0,2;4;10;0,96;0,02;0,96;0,96;0,96
0,2;4;20;0,96;0,02;0,96;0,96;0,96
0,2;4;25;0,96;0,02;0,96;0,96;0,96
0,2;4;50;0,96;0,02;0,96;0,96;0,96
0,2;5;3;0,96;0,02;0,96;0,96;0,96
0,2;5;4;0,96;0,02;0,96;0,96;0,96
0,2;5;5;0,96;0,02;0,96;0,96;0,96
