wine
fold;numberOfClassfiers;samplingFactor;k;classificationAlgorithm;weightedTPRate;weightedFPRate;weightedAccuracy;weightedPrecision;weightedRecall;F
5;3;0.75;const;KnnAdaBoost;0.6516854;0.19407071;0.7670748;0.6214422;0.6516854;0.62547255
10;3;0.75;const;KnnAdaBoost;0.6573034;0.16884756;0.7719038;0.6546777;0.6573034;0.6529957
2;3;0.75;growing;KnnBagging;0.6741573;0.16993266;0.78096205;0.6769332;0.6741573;0.67541116
3;3;0.75;growing;KnnBagging;0.76404494;0.11949747;0.84137106;0.7674612;0.76404494;0.7653099
5;3;0.75;growing;KnnBagging;0.69101125;0.17009224;0.79260826;0.68283427;0.69101125;0.68212056
10;3;0.75;growing;KnnBagging;0.7078652;0.1558332;0.8060535;0.70556724;0.7078652;0.7044392
2;3;0.75;growing;KnnAdaBoost;0.56179774;0.2263345;0.7056558;0.53694105;0.56179774;0.54476035
3;3;0.75;growing;KnnAdaBoost;0.7078652;0.16129026;0.8043176;0.6981013;0.7078652;0.6902934
5;3;0.75;growing;KnnAdaBoost;0.5674157;0.22619577;0.7111161;0.53172004;0.5674157;0.5238773
10;3;0.75;growing;KnnAdaBoost;0.66853935;0.19211406;0.77736396;0.6611449;0.66853935;0.63012904
2;3;0.75;falling;KnnBagging;0.6966292;0.13942896;0.7974056;0.7248422;0.6966292;0.6992538
3;3;0.75;falling;KnnBagging;0.73595506;0.1390959;0.8240752;0.724262;0.73595506;0.72664195
5;3;0.75;falling;KnnBagging;0.752809;0.12435718;0.8342381;0.7557502;0.752809;0.75376
10;3;0.75;falling;KnnBagging;0.73595506;0.13648306;0.82300216;0.74123025;0.73595506;0.738117
2;3;0.75;falling;KnnAdaBoost;0.64044946;0.18854675;0.75931066;0.62553674;0.64044946;0.62982386
3;3;0.75;falling;KnnAdaBoost;0.58426964;0.22513078;0.72339356;0.5498019;0.58426964;0.5576626
5;3;0.75;falling;KnnAdaBoost;0.5280899;0.23621836;0.68375206;0.51549864;0.5280899;0.507
10;3;0.75;falling;KnnAdaBoost;0.5449438;0.24462847;0.693189;0.51816386;0.5449438;0.5209337
2;3;0.9;const;KnnBagging;0.747191;0.11935481;0.83193403;0.75446224;0.747191;0.7448576
3;3;0.9;const;KnnBagging;0.6853933;0.17382006;0.7874006;0.679636;0.6853933;0.67843765
5;3;0.9;const;KnnBagging;0.7247191;0.14393869;0.81476456;0.7297991;0.7247191;0.7267706
