"<continuous data>";;;;;;;;;;
"------------------------------------------------------------";;;;;;;;;;
"Glass";;;;;;;;;;
"ranges";"folds";"smooth";"TP";"FP";"Accuracy";"Precision";"Recall";"F";;
10;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
10;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
10;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
10;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
11;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
11;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
11;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
11;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
12;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
12;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
12;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
12;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
13;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
13;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
13;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
13;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
14;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
14;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
14;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
14;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
15;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
15;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
15;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
15;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
16;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
16;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
16;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
16;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
17;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
17;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
17;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
17;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
18;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
18;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
18;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
18;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
19;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
19;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
19;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
19;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
20;2;"false";0,62666667;0,18666667;0,7511111;0,570068;0,62666667;0,55179524;;
20;3;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
20;5;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
20;10;"false";0,6066667;0,19666667;0,7377778;0,5;0,6066667;0,52258855;;
"wine";;;;;;;;;;
"ranges";"folds";"smooth";"TP";"FP";"Accuracy";"Precision";"Recall";"F";;
5;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;0,7790119
5;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;0,7786339
5;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;0,7865732
5;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;0,7917903
6;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
6;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
6;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
6;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
7;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
7;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
7;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
7;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
8;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
8;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
8;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
8;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
9;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
9;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
9;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
9;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
10;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
10;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
10;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
10;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
11;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
11;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
11;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
11;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
12;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
12;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
12;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
12;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
13;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
13;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
13;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
13;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
14;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
14;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
14;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
14;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
15;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
15;3;"true";0,78651685;0,11903865;0,8566153;0,82406497;0,78651685;0,7786339;;
15;5;"true";0,7921348;0,11154109;0,8611286;0,83769035;0,7921348;0,7865732;;
15;10;"true";0,7977528;0,108755715;0,8652317;0,8411321;0,7977528;0,7917903;;
16;2;"true";0,78651685;0,118096225;0,85699403;0,82567793;0,78651685;0,7790119;;
